Balancing,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
No Balancing,Logistic Regression,1.0,1.0,1.0,1.0,1.0
No Balancing,Decision Tree,1.0,1.0,1.0,1.0,1.0
No Balancing,Random Forest,1.0,1.0,1.0,1.0,1.0
No Balancing,Gradient Boosting,1.0,1.0,1.0,1.0,1.0
No Balancing,XGBoost,1.0,1.0,1.0,1.0,1.0
No Balancing,AdaBoost,1.0,1.0,1.0,1.0,1.0
Random Oversampling,Decision Tree,1.0,1.0,1.0,1.0,1.0
Random Oversampling,Logistic Regression,1.0,1.0,1.0,1.0,1.0
SMOTETomek,XGBoost,1.0,1.0,1.0,1.0,1.0
SMOTETomek,Decision Tree,1.0,1.0,1.0,1.0,1.0
Random Oversampling,Random Forest,1.0,1.0,1.0,1.0,1.0
Random Oversampling,Gradient Boosting,1.0,1.0,1.0,1.0,1.0
Random Oversampling,XGBoost,1.0,1.0,1.0,1.0,1.0
Random Undersampling,Random Forest,1.0,1.0,1.0,1.0,1.0
Random Undersampling,Decision Tree,1.0,1.0,1.0,1.0,1.0
Random Undersampling,Logistic Regression,1.0,1.0,1.0,1.0,1.0
Random Undersampling,XGBoost,1.0,1.0,1.0,1.0,1.0
Random Undersampling,Gradient Boosting,1.0,1.0,1.0,1.0,1.0
SMOTE,K-Nearest Neighbors,1.0,1.0,1.0,1.0,1.0
SMOTE,XGBoost,1.0,1.0,1.0,1.0,1.0
SMOTE,Gradient Boosting,1.0,1.0,1.0,1.0,1.0
SMOTE,Random Forest,1.0,1.0,1.0,1.0,1.0
SMOTE,Decision Tree,1.0,1.0,1.0,1.0,1.0
SMOTE,Logistic Regression,1.0,1.0,1.0,1.0,1.0
SMOTETomek,SVM,1.0,1.0,1.0,1.0,1.0
SMOTETomek,Logistic Regression,1.0,1.0,1.0,1.0,1.0
SMOTETomek,Random Forest,1.0,1.0,1.0,1.0,1.0
SMOTETomek,Gradient Boosting,1.0,1.0,1.0,1.0,1.0
SMOTE,SVM,1.0,1.0,1.0,1.0,1.0
SMOTE,AdaBoost,0.9,0.6666666666666666,1.0,0.8,0.9375
Random Oversampling,SVM,0.9,0.6666666666666666,1.0,0.8,1.0
Random Oversampling,AdaBoost,0.9,0.6666666666666666,1.0,0.8,0.9375
SMOTETomek,K-Nearest Neighbors,0.9,0.6666666666666666,1.0,0.8,0.96875
Random Undersampling,AdaBoost,0.9,0.6666666666666666,1.0,0.8,0.9375
SMOTETomek,AdaBoost,0.9,0.6666666666666666,1.0,0.8,0.9375
Random Oversampling,K-Nearest Neighbors,0.8,0.5,1.0,0.6666666666666666,0.875
Random Undersampling,SVM,0.8,0.5,0.5,0.5,0.8125
No Balancing,K-Nearest Neighbors,0.8,0.0,0.0,0.0,1.0
No Balancing,SVM,0.8,0.0,0.0,0.0,1.0
Random Undersampling,K-Nearest Neighbors,0.4,0.0,0.0,0.0,0.375
