Feature,Importance
Feedback,0.45121246294276807
Payment_Ratio,0.3799535333003398
Avg_Call_Duration,0.3532972824588051
Max_Call_Duration,0.32897541405441666
Total_Call_Duration,0.3196433812530084
Min_Call_Duration,0.3123525461335354
Paid_amount,0.29840036370848805
Days_Since_Payment,0.28706274664614995
Induction_Session,0.24087127306113848
has_no_response,0.21352287382737634
Call_Frequency,0.1736893799737884
Total_Calls,0.17368937997378836
Course,0.16259689263726373
Payment_Method,0.1296374860772195
Executive_Team,0.12457095620355214
Source,0.11633282852947602
has_technical_discussion,0.10547517770791229
Role,0.08945951367510348
has_payment_discussion,0.08134018463993055
Total_Amount,0.07604109651366596
Background,0.0539961394858467
Current_status,0.050145118566222446
Career_gap,0.0464393370740459
Executive_Experience,0.04534466854010256
Education,0.025506144044506397
has_interest,0.012315704434077472
Mode,0.004819767916620484
Experience,0.0034111328663308247
Stream,0.00048287696952988544
Unique_Executives,0.0
