Feature,Coefficient,Abs_Value
cat__Course_Data Science,2.5148377012100425,2.5148377012100425
cat__Course_Data Analytics,2.1995735203464264,2.1995735203464264
cat__Course_Rounded DS & GenAI Professional,-1.974121394861285,1.974121394861285
num__already_working,-1.6395515544815478,1.6395515544815478
cat__Course_PEP Program,-1.4929756551259192,1.4929756551259192
cat__Track Interested_Full Stack,-1.4924285772319101,1.4924285772319101
num__decision_pending,-1.3993710359964096,1.3993710359964096
cat__City_Trivandrum,-1.2935229780448383,1.2935229780448383
cat__Track Interested_Data Analytics,1.265388850432354,1.265388850432354
num__not_interested,-1.2597112547397584,1.2597112547397584
num__joined_competitor,-1.0965159391905974,1.0965159391905974
cat__Program Location_Bengaluru,-1.0880003851267277,1.0880003851267277
cat__Batch Assigned_May 2025,-0.9310631193559107,0.9310631193559107
cat__Course_Python,-0.8892837595467218,0.8892837595467218
cat__City_Alappuzha,0.7866224084131875,0.7866224084131875
cat__Batch Assigned_Aug 2024,-0.7821335827151945,0.7821335827151945
cat__role_Professional,0.7300321283152736,0.7300321283152736
cat__Course_One Month Program,-0.715065054655694,0.715065054655694
cat__City_Thrissur,-0.7053519017395979,0.7053519017395979
cat__Source of lead_Indeed,-0.6727675354754076,0.6727675354754076
cat__Batch Assigned_Feb 2024,-0.6461746640045122,0.6461746640045122
cat__Batch Assigned_Mar 2024,-0.6412610730857898,0.6412610730857898
cat__Program Location_Kochi,0.6199097631073271,0.6199097631073271
cat__Mode of Program Joined_Online,-0.6020208978365593,0.6020208978365593
cat__Program Location_Calicut,0.5858986950688365,0.5858986950688365
cat__Batch Assigned_Jun 2025,0.5649689035838716,0.5649689035838716
cat__Batch Assigned_Oct 2024,-0.539644858505239,0.539644858505239
cat__Education_MCA,-0.5230853198835256,0.5230853198835256
cat__Education_BCOM,-0.49037282566206863,0.49037282566206863
cat__Batch Assigned_Nov 2025,0.48932520851138095,0.48932520851138095
cat__Batch Assigned_Sep 2024,0.46587601965047304,0.46587601965047304
cat__Batch Assigned_May 2026,-0.46115602747864964,0.46115602747864964
cat__role_Student,-0.4573220521070657,0.4573220521070657
cat__Source of lead_Referral,0.4480366451388164,0.4480366451388164
cat__Education_BA,0.4359715451790942,0.4359715451790942
cat__Mode of Program Joined_Offline,0.42371769806287507,0.42371769806287507
cat__Batch Assigned_May 2024,0.4129760518268166,0.4129760518268166
cat__Payment_mode_UPI,0.4127133314759115,0.4127133314759115
cat__City_Idukki,0.41050719566254473,0.41050719566254473
cat__Course_MERN Stack,0.40933398302319923,0.40933398302319923
cat__Batch Assigned_Oct 2025,0.39150714141796883,0.39150714141796883
cat__City_Malappuram,0.3778957656964478,0.3778957656964478
cat__City_Chennai,-0.3708012186578918,0.3708012186578918
cat__Mailing State_Tamil Nadu,-0.3708012186578918,0.3708012186578918
cat__Education_BSC-IT,0.35393671337560473,0.35393671337560473
num__Total_Amount,0.3491600540598189,0.3491600540598189
cat__Feedback_Positive,-0.34251658269383606,0.34251658269383606
cat__Education_MTECH,-0.33810463282152764,0.33810463282152764
cat__Feedback_Neutral,0.3353422768777655,0.3353422768777655
cat__Gender_Female,0.3335960794558289,0.3335960794558289
cat__Education_BCA,0.3300825780549828,0.3300825780549828
cat__Batch Assigned_Feb 2026,0.3285376887760766,0.3285376887760766
cat__City_Kollam,0.32504489209938636,0.32504489209938636
cat__City_Calicut,-0.32361746957377946,0.32361746957377946
num__looking_for_job,-0.320315966883702,0.320315966883702
cat__City_Palakkad,-0.3113293618137608,0.3113293618137608
cat__Batch Assigned_Nov 2024,0.31118826164150276,0.31118826164150276
cat__Batch Assigned_Apr 2024,-0.3103407428820288,0.3103407428820288
cat__Payment_mode_Cash,-0.30236268882891276,0.30236268882891276
cat__Education_MSC,0.2913303189609965,0.2913303189609965
cat__Education_MSC-IT,0.2876486081537132,0.2876486081537132
cat__Batch Assigned_Jun 2024,0.28622329903491994,0.28622329903491994
cat__Followup Email_True,0.2846118219501665,0.2846118219501665
cat__Education_MBA,-0.26654611277326756,0.26654611277326756
cat__Batch Assigned_Dec 2024,0.2661673207195376,0.2661673207195376
cat__Batch Assigned_Apr 2025,0.2647403895659796,0.2647403895659796
cat__Batch Assigned_Jan 2026,-0.26452498072827885,0.26452498072827885
cat__Mode of Program Joined_Hybrid,0.26354101579936284,0.26354101579936284
num__Semester,-0.2623139588439378,0.2623139588439378
cat__Mailing State_Other State,0.2587055046172987,0.2587055046172987
cat__City_Unknown,0.2587055046172987,0.2587055046172987
cat__Gender_Male,-0.2581078630726681,0.2581078630726681
cat__Batch Assigned_Jul 2025,0.25326130675506353,0.25326130675506353
